customer_id,late_count_3m,loan_total_amount,loan_balance_total,asset_total,completed_term_ratio,credit_score
user_0,0,0,0,1000000000,0.5048,990.0
user_1,5,0,0,50000000,0.7502,990.0
user_2,0,10000000,1966999,5000000000,0.8033,990.0
user_3,0,1000000000,76699999,50000000,0.9233,300.0
user_4,0,0,0,5000000000,0.4972,990.0
user_5,0,0,0,10000000000,0.1938,990.0
user_6,5,10000000,2356000,500000000,0.7644,990.0
user_7,0,100000000,87440000,500000000,0.1256,967.84
user_8,0,100000000,58170000,100000000,0.4183,566.97
user_9,5,0,0,50000000,0.6282,990.0
user_10,0,100000000,30810000,10000000000,0.6919,990.0
user_11,0,1000000000,267000000,1000000000,0.733,711.63
user_12,0,0,0,1000000000,0.1935,990.0
user_13,0,1000000000,18399999,10000000,0.9816,300.0
user_14,0,50000000,41080000,100000000,0.1784,787.86
user_15,0,100000000,90390000,500000000,0.0961,965.21
user_16,0,1000000000,335900000,100000000000,0.6641,990.0
user_17,0,0,0,500000000,0.91,990.0
user_18,0,10000000,4406000,50000000,0.5594,990.0
user_19,0,1000000000,404500000,100000000000,0.5955,990.0
user_20,0,0,0,500000000,0.5385,990.0
user_21,0,10000000,9573000,500000000,0.0427,990.0
user_22,0,50000000,15935000,10000000,0.6813,300.0
user_23,0,1000000000,641799999,500000000,0.3582,300.0
user_24,0,10000000,643000,50000000,0.9357,990.0
user_25,0,10000000,8132000,50000000,0.1868,973.3
user_26,0,0,0,500000000,0.3021,990.0
user_27,0,1000000000,495100000,50000000000,0.5049,990.0
user_28,0,50000000,26129999,10000000,0.4774,300.0
user_29,0,0,0,50000000000,0.4003,990.0
user_30,10,0,0,50000000,0.3144,990.0
user_31,0,500000000,426400000,5000000000,0.1472,990.0
user_32,0,50000000,8955000,0,0.8209,300.0
user_33,0,50000000,27560000,0,0.4488,300.0
user_34,0,10000000,4270000,10000000000,0.573,990.0
user_35,0,0,0,50000000000,0.5466,990.0
user_36,0,0,0,50000000,0.5755,990.0
user_37,0,1000000000,295200000,1000000000,0.7048,698.84
user_38,5,0,0,50000000,0.6294,990.0
user_39,0,10000000,7261000,1000000000,0.2739,990.0
user_40,0,0,0,5000000000,0.5537,990.0
user_41,0,0,0,500000000,0.2445,990.0
user_42,0,1000000000,411200000,50000000,0.5888,300.0
user_43,0,0,0,10000000000,0.4319,990.0
user_44,5,10000000,9606000,500000000,0.0394,990.0
user_45,10,100000000,26600000,0,0.734,300.0
user_46,5,0,0,50000000000,0.2747,990.0
user_47,0,0,0,50000000,0.9202,990.0
user_48,0,0,0,10000000,0.2806,990.0
user_49,0,0,0,50000000,0.9966,990.0
user_50,0,0,0,5000000000,0.463,990.0
user_51,0,50000000,48680000,100000000000,0.0264,990.0
user_52,5,100000000,92370000,10000000000,0.0763,990.0
user_53,0,0,0,10000000,0.0821,990.0
user_54,0,0,0,5000000000,0.0562,990.0
user_55,0,0,0,500000000,0.2678,990.0
user_56,0,0,0,50000000000,0.3246,990.0
user_57,0,100000000,88870000,5000000000,0.1113,990.0
user_58,5,0,0,0,0.4381,811.88
user_59,0,0,0,0,0.3654,830.0
user_60,0,500000000,181850000,1000000000,0.6363,891.8
user_61,0,0,0,50000000000,0.1959,990.0
user_62,0,0,0,0,0.914,841.4
user_63,0,10000000,4840000,50000000,0.516,990.0
user_64,0,100000000,37630000,500000000,0.6237,990.0
user_65,0,0,0,100000000,0.0395,990.0
user_66,0,50000000,22044999,0,0.5591,300.0
user_67,0,1000000000,631900000,100000000000,0.3681,990.0
user_68,5,10000000,757999,100000000,0.9242,990.0
user_69,0,100000000,11439999,100000000,0.8856,788.45
user_70,0,50000000,18120000,100000000000,0.6376,990.0
user_71,0,0,0,100000000,0.7679,990.0
user_72,0,50000000,17770000,50000000,0.6446,671.4
user_73,0,0,0,5000000000,0.017,990.0
user_74,0,50000000,14845000,0,0.7031,300.0
user_75,5,10000000,8229000,10000000,0.1771,435.92
user_76,0,50000000,15870000,0,0.6826,300.0
user_77,0,0,0,100000000,0.0105,990.0
user_78,0,0,0,500000000,0.3109,990.0
user_79,0,0,0,100000000000,0.5169,990.0
user_80,0,50000000,33340000,500000000,0.3332,990.0
user_81,0,0,0,10000000,0.694,990.0
user_82,0,0,0,50000000,0.5227,990.0
user_83,0,0,0,100000000,0.9597,990.0
user_84,0,1000000000,642200000,100000000000,0.3578,990.0
user_85,0,500000000,139050000,1000000000,0.7219,910.86
user_86,0,0,0,1000000000,0.8358,990.0
user_87,0,1000000000,746400000,10000000,0.2536,300.0
