customer_id,late_count_3m,loan_total_amount,loan_balance_total,asset_total,completed_term_ratio,credit_score
user_0,0,0.0,0.0,800000000.0,0.5048,930.0
user_1,5,0.0,0.0,40000000.0,0.7502,895.51
user_2,0,12000000.0,2163698.9000000004,4000000000.0,0.8033,860.52
user_3,0,1200000000.0,84369998.9,40000000.0,0.9233,442.33
user_4,0,0.0,0.0,4000000000.0,0.4972,930.0
user_5,0,0.0,0.0,8000000000.0,0.1938,930.0
user_6,5,12000000.0,2591600.0,400000000.0,0.7644,824.54
user_7,0,120000000.0,96184000.00000001,400000000.0,0.1256,505.95
user_8,0,120000000.0,63987000.00000001,80000000.0,0.4183,450.02
user_9,5,0.0,0.0,40000000.0,0.6282,895.51
user_10,0,120000000.0,33891000.0,8000000000.0,0.6919,566.6
user_11,0,1200000000.0,293700000.0,800000000.0,0.733,493.29
user_12,0,0.0,0.0,800000000.0,0.1935,930.0
user_13,0,1200000000.0,20239998.900000002,8000000.0,0.9816,448.16
user_14,0,60000000.0,45188000.0,80000000.0,0.1784,560.87
user_15,0,120000000.0,99429000.00000001,400000000.0,0.0961,505.14
user_16,0,1200000000.0,369490000.00000006,80000000000.0,0.6641,529.54
user_17,0,0.0,0.0,400000000.0,0.91,941.0
user_18,0,12000000.0,4846600.0,40000000.0,0.5594,828.2
user_19,0,1200000000.0,444950000.00000006,80000000000.0,0.5955,529.44
user_20,0,0.0,0.0,400000000.0,0.5385,930.0
user_21,0,12000000.0,10530300.0,400000000.0,0.0427,854.45
user_22,0,60000000.0,17528500.0,8000000.0,0.6813,430.0
user_23,0,1200000000.0,705979998.9000001,400000000.0,0.3582,430.0
user_24,0,12000000.0,707300.0,40000000.0,0.9357,870.09
user_25,0,12000000.0,8945200.0,40000000.0,0.1868,796.28
user_26,0,0.0,0.0,400000000.0,0.3021,930.0
user_27,0,1200000000.0,544610000.0,40000000000.0,0.5049,528.64
user_28,0,60000000.0,28742998.900000002,8000000.0,0.4774,430.0
user_29,0,0.0,0.0,40000000000.0,0.4003,930.0
user_30,10,0.0,0.0,40000000.0,0.3144,771.51
user_31,0,600000000.0,469040000.00000006,4000000000.0,0.1472,518.27
user_32,0,60000000.0,9850500.0,0.0,0.8209,432.09
user_33,0,60000000.0,30316000.000000004,0.0,0.4488,430.0
user_34,0,12000000.0,4697000.0,8000000000.0,0.573,860.18
user_35,0,0.0,0.0,40000000000.0,0.5466,930.0
user_36,0,0.0,0.0,40000000.0,0.5755,930.0
user_37,0,1200000000.0,324720000.0,800000000.0,0.7048,489.41
user_38,5,0.0,0.0,40000000.0,0.6294,895.51
user_39,0,12000000.0,7987100.000000001,800000000.0,0.2739,858.28
user_40,0,0.0,0.0,4000000000.0,0.5537,930.0
user_41,0,0.0,0.0,400000000.0,0.2445,930.0
user_42,0,1200000000.0,452320000.00000006,40000000.0,0.5888,430.0
user_43,0,0.0,0.0,8000000000.0,0.4319,930.0
user_44,5,12000000.0,10566600.0,400000000.0,0.0394,819.93
user_45,10,120000000.0,29260000.000000004,0.0,0.734,430.0
user_46,5,0.0,0.0,40000000000.0,0.2747,895.51
user_47,0,0.0,0.0,40000000.0,0.9202,942.02
user_48,0,0.0,0.0,8000000.0,0.2806,930.0
user_49,0,0.0,0.0,40000000.0,0.9966,949.66
user_50,0,0.0,0.0,4000000000.0,0.463,930.0
user_51,0,60000000.0,53548000.00000001,80000000000.0,0.0264,743.82
user_52,5,120000000.0,101607000.00000001,8000000000.0,0.0763,530.28
user_53,0,0.0,0.0,8000000.0,0.0821,930.0
user_54,0,0.0,0.0,4000000000.0,0.0562,930.0
user_55,0,0.0,0.0,400000000.0,0.2678,930.0
user_56,0,0.0,0.0,40000000000.0,0.3246,930.0
user_57,0,120000000.0,97757000.00000001,4000000000.0,0.1113,562.01
user_58,5,0.0,0.0,0.0,0.4381,795.51
user_59,0,0.0,0.0,0.0,0.3654,830.0
user_60,0,600000000.0,200035000.00000003,800000000.0,0.6363,505.0
user_61,0,0.0,0.0,40000000000.0,0.1959,930.0
user_62,0,0.0,0.0,0.0,0.914,841.4
user_63,0,12000000.0,5324000.0,40000000.0,0.516,824.63
user_64,0,120000000.0,41393000.0,400000000.0,0.6237,540.52
user_65,0,0.0,0.0,80000000.0,0.0395,930.0
user_66,0,60000000.0,24249498.900000002,0.0,0.5591,430.0
user_67,0,1200000000.0,695090000.0,80000000000.0,0.3681,529.13
user_68,5,12000000.0,833798.9,80000000.0,0.9242,836.11
user_69,0,120000000.0,12583998.9,80000000.0,0.8856,532.92
user_70,0,60000000.0,19932000.0,80000000000.0,0.6376,743.89
user_71,0,0.0,0.0,80000000.0,0.7679,930.0
user_72,0,60000000.0,19547000.0,40000000.0,0.6446,588.69
user_73,0,0.0,0.0,4000000000.0,0.017,930.0
user_74,0,60000000.0,16329500.000000002,0.0,0.7031,430.0
user_75,5,12000000.0,9051900.0,8000000.0,0.1771,434.46
user_76,0,60000000.0,17457000.0,0.0,0.6826,430.0
user_77,0,0.0,0.0,80000000.0,0.0105,930.0
user_78,0,0.0,0.0,400000000.0,0.3109,930.0
user_79,0,0.0,0.0,80000000000.0,0.5169,930.0
user_80,0,60000000.0,36674000.0,400000000.0,0.3332,720.47
user_81,0,0.0,0.0,8000000.0,0.694,930.0
user_82,0,0.0,0.0,40000000.0,0.5227,930.0
user_83,0,0.0,0.0,80000000.0,0.9597,945.97
user_84,0,1200000000.0,706420000.0,80000000000.0,0.3578,529.12
user_85,0,600000000.0,152955000.0,800000000.0,0.7219,510.88
user_86,0,0.0,0.0,800000000.0,0.8358,933.58
user_87,0,1200000000.0,821040000.0000001,8000000.0,0.2536,430.0
user_88,0,0.0,0.0,8000000.0,0.7541,930.0
user_89,0,0.0,0.0,40000000000.0,0.3933,930.0
user_90,5,12000000.0,9584300.0,8000000.0,0.1287,430.0
user_91,0,120000000.0,109604000.00000001,8000000.0,0.0036,430.0
user_92,0,600000000.0,140909998.9,40000000.0,0.7438,430.0
user_93,0,60000000.0,44759000.0,40000000000.0,0.1862,743.74
user_94,0,60000000.0,52184000.00000001,800000000.0,0.0512,727.91
user_95,0,600000000.0,276540000.0,800000000.0,0.4972,495.43
user_96,0,0.0,0.0,80000000000.0,0.3467,930.0
user_97,5,600000000.0,169510000.0,400000000.0,0.6918,487.62
user_98,0,0.0,0.0,4000000000.0,0.1074,930.0
user_99,5,1200000000.0,954030000.0000001,80000000.0,0.1327,430.0
user_100,0,0.0,0.0,80000000000.0,0.4041,930.0
user_101,5,120000000.0,52756000.00000001,80000000000.0,0.5204,532.78
user_102,0,0.0,0.0,40000000.0,0.8242,932.42
user_103,5,12000000.0,4558400.0,4000000000.0,0.5856,825.59
user_104,0,0.0,0.0,80000000000.0,0.9026,940.26
user_105,0,0.0,0.0,0.0,0.2178,830.0
user_106,0,1200000000.0,444180000.00000006,800000000.0,0.5962,474.48
user_107,0,60000000.0,18964000.0,8000000.0,0.6552,430.0
user_108,5,0.0,0.0,8000000.0,0.7258,895.51
user_109,0,1200000000.0,12429998.9,8000000000.0,0.9887,548.71
user_110,0,0.0,0.0,40000000.0,0.468,930.0
user_111,0,0.0,0.0,40000000000.0,0.3693,930.0
user_112,0,12000000.0,1625800.0000000002,80000000.0,0.8522,861.12
user_113,0,60000000.0,45276000.0,800000000.0,0.1768,730.26
user_114,5,12000000.0,10593000.0,0.0,0.037,430.0
user_115,0,0.0,0.0,80000000000.0,0.4436,930.0
user_116,0,0.0,0.0,80000000000.0,0.2472,930.0
user_117,0,0.0,0.0,40000000.0,0.3965,930.0
user_118,10,600000000.0,7645000.000000001,80000000.0,0.9861,539.05
user_119,0,0.0,0.0,400000000.0,0.3485,930.0
user_120,0,600000000.0,160600000.0,0.0,0.708,430.0
user_121,0,0.0,0.0,80000000.0,0.2504,930.0
user_122,0,0.0,0.0,400000000.0,0.3034,930.0
user_123,0,1200000000.0,832480000.0000001,80000000.0,0.2432,430.0
user_124,0,12000000.0,4705800.0,80000000000.0,0.5722,860.27
user_125,0,120000000.0,85129000.0,80000000000.0,0.2261,567.21
user_126,0,120000000.0,30975998.900000002,4000000000.0,0.7184,565.87
user_127,5,120000000.0,35167000.0,8000000000.0,0.6803,532.07
user_128,0,60000000.0,31828500.000000004,8000000000.0,0.4213,743.2
user_129,0,0.0,0.0,40000000.0,0.0256,930.0
user_130,5,0.0,0.0,400000000.0,0.0227,895.51
user_131,0,0.0,0.0,80000000000.0,0.5328,930.0
user_132,0,12000000.0,1768800.0000000002,8000000000.0,0.8392,864.16
